! (C) Copyright TOSHIBA CORPORATION 2016
! Date: 		2003-01-20
! Part Number: 		2SK3475
! Model:		RF-MOSFET


!          2SK3475         20030120

VAR        vds = 3.0

VAR        id = 0.010

!          REM     DATA    NUMBER = 1

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

  450000000  0.714  -139.1   2.654    66.0  0.0631   -17.7   0.723  -159.2

  500000000  0.722  -142.8   2.352    60.6  0.0616   -21.7   0.737  -161.3

  550000000  0.731  -146.0   2.074    55.6  0.0602   -25.7   0.751  -163.2

  600000000  0.740  -148.9   1.836    51.4  0.0583   -29.5   0.763  -164.9

  650000000  0.750  -151.6   1.642    47.7  0.0565   -33.0   0.775  -166.5

  700000000  0.760  -154.1   1.483    44.4  0.0546   -36.3   0.785  -168.1

  750000000  0.770  -156.4   1.350    41.3  0.0525   -39.9   0.795  -169.6

  800000000  0.778  -158.5   1.244    38.2  0.0498   -42.9   0.803  -171.1

  850000000  0.787  -160.4   1.146    34.6  0.0473   -44.7   0.811  -172.5

  900000000  0.795  -162.3   1.049    31.3  0.0455   -46.5   0.819  -173.8

  950000000  0.803  -164.1   0.968    28.2  0.0437   -48.2   0.825  -175.1

 1000000000  0.810  -165.7   0.889    25.0  0.0423   -49.9   0.830  -176.4

 1050000000  0.817  -167.4   0.819    22.3  0.0407   -52.1   0.836  -177.6

 1100000000  0.823  -169.0   0.757    19.8  0.0388   -53.8   0.840  -178.8

 1150000000  0.829  -170.5   0.700    17.4  0.0371   -55.1   0.845  -179.9

 1200000000  0.835  -172.1   0.651    15.2  0.0355   -56.3   0.849   179.0

 1250000000  0.840  -173.5   0.605    13.1  0.0340   -57.3   0.853   178.0

 1300000000  0.845  -174.9   0.561    11.2  0.0326   -58.1   0.857   176.9

 1350000000  0.850  -176.2   0.523    10.0  0.0315   -58.8   0.861   175.9

 1400000000  0.854  -177.6   0.496     8.8  0.0305   -59.8   0.864   174.9

 1450000000  0.857  -178.8   0.470     6.9  0.0293   -61.0   0.868   173.9

 1500000000  0.861   179.9   0.440     5.2  0.0281   -61.9   0.871   172.9

 1550000000  0.864   178.7   0.412     4.1  0.0268   -62.3   0.875   171.9

 1600000000  0.868   177.4   0.392     4.0  0.0261   -62.4   0.878   170.9

 1650000000  0.870   176.2   0.382     3.3  0.0255   -63.5   0.882   170.0

 1700000000  0.873   175.0   0.371     1.1  0.0244   -65.2   0.885   169.0

 1750000000  0.875   173.9   0.353    -1.0  0.0232   -66.0   0.888   168.0

 1800000000  0.877   172.7   0.335    -2.0  0.0222   -66.0   0.891   167.1

 1850000000  0.879   171.6   0.324    -2.3  0.0214   -65.9   0.894   166.1

 1900000000  0.880   171.1   0.322    -2.4  0.0212   -66.4   0.896   165.7

 1950000000  0.881   170.5   0.322    -3.2  0.0210   -67.4   0.897   165.2

 2000000000  0.882   170.0   0.320    -5.0  0.0204   -68.6   0.899   164.8

END ACDATA



VAR        vds = 3.0

VAR        id = 0.150

!          REM     DATA    NUMBER = 7

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.949   -39.4  11.345   151.9  0.0278    61.9   0.286  -101.6

  100000000  0.858   -70.2   9.193   130.0  0.0452    41.3   0.461  -124.8

  150000000  0.789   -91.7   7.311   114.4  0.0542    26.4   0.555  -137.8

  200000000  0.749  -106.9   5.957   103.7  0.0577    16.1   0.608  -145.9

  250000000  0.727  -117.7   4.973    94.0  0.0605     7.6   0.643  -151.4

  300000000  0.717  -125.8   4.191    86.3  0.0607     0.3   0.668  -155.3

  350000000  0.713  -132.1   3.609    79.2  0.0604    -5.0   0.687  -158.3

  400000000  0.714  -137.1   3.107    73.1  0.0602   -10.6   0.703  -160.6

  450000000  0.719  -141.3   2.727    68.1  0.0588   -15.3   0.718  -162.7

  500000000  0.725  -144.9   2.423    62.8  0.0576   -19.3   0.731  -164.5

  550000000  0.732  -148.0   2.143    57.8  0.0563   -23.2   0.744  -166.1

  600000000  0.740  -150.8   1.903    53.7  0.0548   -26.8   0.756  -167.6

  650000000  0.749  -153.4   1.707    50.1  0.0532   -30.2   0.767  -169.0

  700000000  0.758  -155.7   1.546    46.9  0.0516   -33.5   0.776  -170.3

  750000000  0.766  -157.9   1.412    43.8  0.0499   -36.9   0.785  -171.7

  800000000  0.774  -159.9   1.304    40.7  0.0474   -40.0   0.794  -173.0

  850000000  0.782  -161.8   1.204    37.0  0.0452   -41.8   0.801  -174.3

  900000000  0.790  -163.5   1.104    33.7  0.0436   -43.5   0.808  -175.6

  950000000  0.798  -165.2   1.021    30.6  0.0419   -45.2   0.814  -176.8

 1000000000  0.805  -166.8   0.939    27.4  0.0406   -46.9   0.819  -177.9

 1050000000  0.811  -168.4   0.865    24.7  0.0391   -49.1   0.823  -179.1

 1100000000  0.818  -169.9   0.801    22.1  0.0373   -50.8   0.827   179.9

 1150000000  0.824  -171.4   0.742    19.8  0.0357   -52.0   0.831   178.8

 1200000000  0.829  -172.8   0.690    17.5  0.0342   -53.2   0.835   177.8

 1250000000  0.835  -174.2   0.642    15.4  0.0328   -54.2   0.839   176.8

 1300000000  0.839  -175.6   0.597    13.6  0.0315   -55.0   0.843   175.9

 1350000000  0.844  -176.9   0.557    12.4  0.0304   -55.6   0.846   174.9

 1400000000  0.848  -178.2   0.528    11.2  0.0295   -56.7   0.850   174.0

 1450000000  0.852  -179.5   0.501     9.2  0.0284   -57.9   0.854   173.1

 1500000000  0.856   179.3   0.470     7.5  0.0273   -58.7   0.858   172.1

 1550000000  0.859   178.1   0.441     6.5  0.0261   -59.0   0.862   171.2

 1600000000  0.862   176.9   0.421     6.3  0.0254   -59.1   0.866   170.3

 1650000000  0.865   175.7   0.410     5.5  0.0249   -60.1   0.869   169.4

 1700000000  0.868   174.6   0.398     3.3  0.0239   -61.6   0.873   168.5

 1750000000  0.870   173.5   0.379     1.2  0.0228   -62.3   0.877   167.5

 1800000000  0.872   172.3   0.360     0.2  0.0218   -62.3   0.880   166.6

 1850000000  0.874   171.2   0.349    -0.1  0.0211   -62.1   0.884   165.7

 1900000000  0.876   170.7   0.347    -0.2  0.0209   -62.6   0.886   165.2

 1950000000  0.877   170.2   0.347    -1.1  0.0207   -63.5   0.888   164.8

 2000000000  0.878   169.7   0.344    -2.9  0.0201   -64.6   0.889   164.4

END ACDATA



VAR        vds = 3.0

VAR        id = 0.200

!          REM     DATA    NUMBER = 8

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.952   -39.6  10.971   152.5  0.0258    62.6   0.283  -122.3

  100000000  0.865   -70.7   8.942   130.9  0.0422    42.0   0.461  -135.1

  150000000  0.800   -92.5   7.137   115.5  0.0507    27.4   0.557  -144.8

  200000000  0.761  -107.8   5.839   104.8  0.0542    17.2   0.612  -151.3

  250000000  0.739  -118.8   4.884    95.3  0.0569     8.9   0.646  -155.8

  300000000  0.728  -127.0   4.126    87.7  0.0572     1.8   0.670  -159.1

  350000000  0.723  -133.4   3.562    80.7  0.0572    -3.4   0.688  -161.6

  400000000  0.723  -138.4   3.073    74.7  0.0571    -8.9   0.704  -163.6

  450000000  0.725  -142.6   2.705    69.8  0.0559   -13.6   0.717  -165.4

  500000000  0.730  -146.2   2.409    64.5  0.0549   -17.4   0.730  -167.0

  550000000  0.736  -149.3   2.135    59.7  0.0539   -21.3   0.741  -168.4

  600000000  0.743  -152.0   1.901    55.6  0.0526   -24.8   0.752  -169.7

